Participant-ID,First-Name,Last-Name,Email,House,CompleteYears,Perc_Academic
32453,Braxton,Warren,Braxton.Warren@school.edu,Astral,0,65.0
32530,Evan,Sanchez,Evan.Sanchez@school.edu,Phoenix,0,44.0
32544,Jason,Bailey,Jason.Bailey@school.edu,Redwood,2,19.0
32508,Tristan,James,Tristan.James@school.edu,Vanguard,0,55.0
32407,Austin,Foster,Austin.Foster@school.edu,Redwood,0,56.0
32565,Carter,Baker,Carter.Baker@school.edu,Redwood,2,74.0
32529,Bentley,Price,Bentley.Price@school.edu,Astral,4,45.0
32457,Lorenzo,Woods,Lorenzo.Woods@school.edu,Griffin,4,70.0
32545,Axel,Bennett,Axel.Bennett@school.edu,Phoenix,4,21.0
32492,Marcellus,Tovar,Marcellus.Tovar@school.edu,Astral,0,31.0
32406,Eli,Collins,Eli.Collins@school.edu,Griffin,4,7.0
32479,Mason,Wilson,Mason.Wilson@school.edu,Griffin,4,25.0
32490,Caden,Novak,Caden.Novak@school.edu,Redwood,2,89.0
32513,Tucker,Castro,Tucker.Castro@school.edu,Falcon,2,67.0
32480,Donovan,Steele,Donovan.Steele@school.edu,Redwood,1,22.0
32546,Gabriel,Lee,Gabriel.Lee@school.edu,Astral,1,42.0
32535,James,Anderson,James.Anderson@school.edu,Vanguard,0,
32456,Jorge,Fox,Jorge.Fox@school.edu,Falcon,0,63.0
32551,Christopher,Clark,Christopher.Clark@school.edu,Astral,0,54.0
32446,Zane,Pena,Zane.Pena@school.edu,Vanguard,3,89.0
32451,Leo,Adams,Leo.Adams@school.edu,Falcon,0,57.0
32425,Atticus,Osborne,Atticus.Osborne@school.edu,Astral,1,27.0
32471,Sawyer,Butler,Sawyer.Butler@school.edu,Falcon,3,7.0
32528,Dominic,Barnes,Dominic.Barnes@school.edu,Phoenix,2,65.0
32487,Iker,Fisher,Iker.Fisher@school.edu,Griffin,2,78.0
32466,Miles,Watson,Miles.Watson@school.edu,Griffin,0,37.0
32468,Easton,Bell,Easton.Bell@school.edu,Redwood,3,95.0
32414,Marcus,Hughes,Marcus.Hughes@school.edu,Vanguard,2,6.0
32483,Alexander,Taylor,Alexander.Taylor@school.edu,Griffin,3,27.0
32418,Cooper,Kelly,Cooper.Kelly@school.edu,Phoenix,0,55.0
32394,Jeremiah,Murphy,Jeremiah.Murphy@school.edu,Redwood,0,65.0
32431,Tate,Peck,Tate.Peck@school.edu,Phoenix,0,45.0
32411,Wesley,Long,Wesley.Long@school.edu,Redwood,2,46.0
32501,Harrison,Howard,Harrison.Howard@school.edu,Vanguard,2,97.0
32558,Daniel,White,Daniel.White@school.edu,Falcon,2,41.0
32424,Gideon,Shea,Gideon.Shea@school.edu,Phoenix,0,
32533,David,Garcia,David.Garcia@school.edu,Phoenix,0,62.0
32547,David,Parker,David.Parker@school.edu,Astral,2,28.0
32430,Cassian,Jarvis,Cassian.Jarvis@school.edu,Vanguard,0,43.0
32564,Victor,Hodge,Victor.Hodge@school.edu,Redwood,1,
32537,Maxwell,Richardson,Maxwell.Richardson@school.edu,Phoenix,2,10.0
32441,Mateo,Ramirez,Mateo.Ramirez@school.edu,Griffin,2,40.0
32555,Gabriel,Gray,Gabriel.Gray@school.edu,Phoenix,0,34.0
32442,Lucas,Robinson,Lucas.Robinson@school.edu,Griffin,2,48.0
32472,Jasper,Luna,Jasper.Luna@school.edu,Astral,2,25.0
32396,Christian,Campbell,Christian.Campbell@school.edu,Vanguard,0,34.0
32560,Oliver,Jones,Oliver.Jones@school.edu,Griffin,0,33.0
32525,Hayden,West,Hayden.West@school.edu,Vanguard,2,18.0
32419,Ethan,Williams,Ethan.Williams@school.edu,Phoenix,2,31.0
32452,Chandler,Parks,Chandler.Parks@school.edu,Astral,2,2.0
32416,Killian,Kent,Killian.Kent@school.edu,Falcon,0,60.0
32434,Hendrix,Huff,Hendrix.Huff@school.edu,Redwood,0,48.0
32438,Hunter,Roberts,Hunter.Roberts@school.edu,Phoenix,1,38.0
32426,Emmanuel,Chambers,Emmanuel.Chambers@school.edu,Vanguard,0,28.0
32563,Thomas,Carter,Thomas.Carter@school.edu,Astral,0,79.0
32519,Cole,Stewart,Cole.Stewart@school.edu,Vanguard,0,51.0
32543,Oscar,Reynolds,Oscar.Reynolds@school.edu,Redwood,0,41.0
32521,Isaac,Nelson,Isaac.Nelson@school.edu,Vanguard,0,80.0
32526,Jude,Graham,Jude.Graham@school.edu,Vanguard,1,86.0
32561,Phillip,Lozano,Phillip.Lozano@school.edu,Griffin,0,55.0
32391,Graham,Glenn,Graham.Glenn@school.edu,Vanguard,1,74.0
32542,Lucian,Wu,Lucian.Wu@school.edu,Redwood,0,57.0
32393,Spencer,Woodward,Spencer.Woodward@school.edu,Vanguard,1,5.0
32496,Zayn,Gould,Zayn.Gould@school.edu,Falcon,0,42.0
32464,Cole,Brooks,Cole.Brooks@school.edu,Vanguard,0,62.0
32488,Tyson,Bush,Tyson.Bush@school.edu,Redwood,0,34.0
32562,Sebastian,Gonzalez,Sebastian.Gonzalez@school.edu,Astral,0,77.0
32518,Maximus,Cole,Maximus.Cole@school.edu,Griffin,0,
32502,Matthew,Martin,Matthew.Martin@school.edu,Phoenix,0,47.0
32410,River,Ellis,River.Ellis@school.edu,Griffin,0,51.0
32506,Dominic,Rogers,Dominic.Rogers@school.edu,Falcon,0,75.0
32412,Lucius,Franco,Lucius.Franco@school.edu,Falcon,0,77.0
32539,Adrian,Cook,Adrian.Cook@school.edu,Phoenix,0,79.0
32510,Damian,Harrison,Damian.Harrison@school.edu,Redwood,0,75.0
32469,Benjamin,Miller,Benjamin.Miller@school.edu,Vanguard,1,75.0
32548,Anders,Crosby,Anders.Crosby@school.edu,Griffin,0,76.0
32507,Aiden,Brown,Aiden.Brown@school.edu,Phoenix,0,46.0
32536,Brody,Flores,Brody.Flores@school.edu,Falcon,0,80.0
32524,Flynn,Stuart,Flynn.Stuart@school.edu,Falcon,0,78.0
32482,Andrew,Martinez,Andrew.Martinez@school.edu,Falcon,0,81.0
32481,Elias,Cooper,Elias.Cooper@school.edu,Falcon,0,71.0
32439,Chase,Wood,Chase.Wood@school.edu,Griffin,0,79.0
32461,Dylan,Scott,Dylan.Scott@school.edu,Griffin,0,52.0
32559,Anthony,Hill,Anthony.Hill@school.edu,Redwood,0,54.0
32398,Titus,Serrano,Titus.Serrano@school.edu,Vanguard,0,60.0
32460,Ignatius,Gaines,Ignatius.Gaines@school.edu,Astral,0,
32520,Owen,Hernandez,Owen.Hernandez@school.edu,Redwood,0,44.0
32450,Kingston,Hamilton,Kingston.Hamilton@school.edu,Falcon,0,79.0
32538,Julian,King,Julian.King@school.edu,Astral,0,47.0
32454,Leo,Brewer,Leo.Brewer@school.edu,Phoenix,0,48.0
32554,Kieran,Pruitt,Kieran.Pruitt@school.edu,Astral,0,64.0
32447,Henry,Wright,Henry.Wright@school.edu,Phoenix,0,48.0
32423,Jesse,Hawkins,Jesse.Hawkins@school.edu,Redwood,0,29.0
32486,Jaxson,Washington,Jaxson.Washington@school.edu,Vanguard,0,39.0
32449,Jonah,Russell,Jonah.Russell@school.edu,Redwood,0,53.0
32465,Nolan,Morgan,Nolan.Morgan@school.edu,Phoenix,0,
32503,Thaddeus,Noble,Thaddeus.Noble@school.edu,Griffin,0,
32552,Jett,Nguyen,Jett.Nguyen@school.edu,Astral,0,
32473,Cole,Ward,Cole.Ward@school.edu,Astral,0,77.0
37895,Rhett,Barton,Rhett.Barton@school.edu,Vanguard,9,92.0
37997,Beckett,Powell,Beckett.Powell@school.edu,Vanguard,4,93.0
37901,Rory,Briggs,Rory.Briggs@school.edu,Griffin,9,35.0
37971,Abel,Mendoza,Abel.Mendoza@school.edu,Phoenix,1,71.0
37943,Josiah,Perez,Josiah.Perez@school.edu,Falcon,2,53.0
37894,King,Ingram,King.Ingram@school.edu,Vanguard,2,24.0
38010,Wyatt,Green,Wyatt.Green@school.edu,Redwood,6,57.0
37921,Ricardo,Owens,Ricardo.Owens@school.edu,Falcon,3,43.0
37902,Derek,Barnes,Derek.Barnes@school.edu,Phoenix,9,53.0
37886,Xavier,Bryant,Xavier.Bryant@school.edu,Vanguard,9,53.0
37952,Lincoln,Peterson,Lincoln.Peterson@school.edu,Phoenix,0,32.0
37942,Nathan,Allen,Nathan.Allen@school.edu,Astral,3,53.0
37998,Jordan,Reed,Jordan.Reed@school.edu,Phoenix,10,27.0
37903,Elijah,Moore,Elijah.Moore@school.edu,Griffin,2,6.0
37928,Finn,Perry,Finn.Perry@school.edu,Phoenix,1,48.0
37853,Declan,Patterson,Declan.Patterson@school.edu,Astral,2,52.0
37988,Connor,Young,Connor.Young@school.edu,Astral,0,34.0
37898,Joseph,Thompson,Joseph.Thompson@school.edu,Vanguard,1,34.0
38007,Jackson,Rodriguez,Jackson.Rodriguez@school.edu,Vanguard,0,23.0
37968,Emmanuel,Ford,Emmanuel.Ford@school.edu,Falcon,0,66.0
38013,Peter,Alexander,Peter.Alexander@school.edu,Redwood,3,56.0
38006,Samuel,Harris,Samuel.Harris@school.edu,Phoenix,0,95.0
37858,Roman,Simmons,Roman.Simmons@school.edu,Falcon,0,16.0
37962,Aaron,Edwards,Aaron.Edwards@school.edu,Falcon,0,67.0
37875,Leon,Kirk,Leon.Kirk@school.edu,Griffin,0,32.0
37936,Adam,Rivera,Adam.Rivera@school.edu,Falcon,2,81.0
37935,Walter,Kim,Walter.Kim@school.edu,Phoenix,0,10.0
37932,Cameron,Cox,Cameron.Cox@school.edu,Falcon,1,5.0
37951,Luke,Phillips,Luke.Phillips@school.edu,Vanguard,7,54.0
37871,Nikolai,Weeks,Nikolai.Weeks@school.edu,Falcon,9,22.0
37917,Zander,Buchanan,Zander.Buchanan@school.edu,Astral,9,43.0
37991,Liam,Smith,Liam.Smith@school.edu,Redwood,9,37.0
37984,Bruce,Malone,Bruce.Malone@school.edu,Griffin,0,26.0
37989,Caleb,Turner,Caleb.Turner@school.edu,Redwood,1,90.0
37857,Damon,Banks,Damon.Banks@school.edu,Astral,9,63.0
37867,Winston,Bruce,Winston.Bruce@school.edu,Vanguard,4,64.0
37933,Chance,Wallace,Chance.Wallace@school.edu,Astral,9,68.0
37920,Noah,Johnson,Noah.Johnson@school.edu,Falcon,0,71.0
37956,Simon,Cline,Simon.Cline@school.edu,Griffin,0,6.0
37916,Jeremiah,Myers,Jeremiah.Myers@school.edu,Astral,0,38.0
37862,Greyson,Ross,Greyson.Ross@school.edu,Astral,0,20.0
37974,Tobias,Tanner,Tobias.Tanner@school.edu,Falcon,1,81.0
37859,Isaac,Walker,Isaac.Walker@school.edu,Vanguard,0,49.0
37961,Tucker,Campos,Tucker.Campos@school.edu,Phoenix,9,14.0
37906,Zayden,Coleman,Zayden.Coleman@school.edu,Astral,9,78.0
37979,Dennis,Lutz,Dennis.Lutz@school.edu,Redwood,9,75.0
37966,Ezekiel,Gonzales,Ezekiel.Gonzales@school.edu,Redwood,0,63.0
37855,Carlos,Torres,Carlos.Torres@school.edu,Astral,7,89.0
37980,Elliot,Hayes,Elliot.Hayes@school.edu,Griffin,9,68.0
37969,Malik,Cortez,Malik.Cortez@school.edu,Phoenix,5,59.0
37913,Lawrence,Cervantes,Lawrence.Cervantes@school.edu,Redwood,2,30.0
37947,Ronald,Salazar,Ronald.Salazar@school.edu,Griffin,4,84.0
37890,William,Thomas,William.Thomas@school.edu,Vanguard,7,73.0
37934,Bennett,Sullivan,Bennett.Sullivan@school.edu,Phoenix,9,85.0
37973,Axel,Griffin,Axel.Griffin@school.edu,Redwood,8,46.0
37925,Malcolm,Knox,Malcolm.Knox@school.edu,Falcon,9,21.0
37866,Jonathan,Evans,Jonathan.Evans@school.edu,Falcon,8,42.0
37878,Levi,Mitchell,Levi.Mitchell@school.edu,Vanguard,8,93.0
37955,Colton,Henderson,Colton.Henderson@school.edu,Redwood,0,97.0
37972,Caleb,Davis,Caleb.Davis@school.edu,Falcon,0,12.0
37887,Charles,Diaz,Charles.Diaz@school.edu,Phoenix,4,6.0
37873,Silas,Jenkins,Silas.Jenkins@school.edu,Falcon,2,8.0
37893,Barrett,Gibson,Barrett.Gibson@school.edu,Griffin,2,76.0
37863,Patrick,Olsen,Patrick.Olsen@school.edu,Falcon,4,17.0
37850,Richard,Harrington,Richard.Harrington@school.edu,Redwood,1,90.0
37953,Blake,Sanders,Blake.Sanders@school.edu,Phoenix,2,23.0
37885,Enzo,Espinoza,Enzo.Espinoza@school.edu,Redwood,0,80.0
37879,Sterling,Hickman,Sterling.Hickman@school.edu,Astral,5,74.0
37880,Jack,Lopez,Jack.Lopez@school.edu,Astral,5,72.0
37957,Michael,Jackson,Michael.Jackson@school.edu,Astral,2,62.0
37861,Miguel,Jordan,Miguel.Jordan@school.edu,Griffin,0,9.0
38014,Bryce,Montgomery,Bryce.Montgomery@school.edu,Falcon,6,36.0
37891,Ryan,Hall,Ryan.Hall@school.edu,Phoenix,0,83.0
37860,Jaxon,Morris,Jaxon.Morris@school.edu,Redwood,2,51.0
37949,Logan,Lewis,Logan.Lewis@school.edu,Griffin,4,34.0
37911,Braxton,Warren,Braxton.Warren@school.edu,Astral,0,55.0
37987,Evan,Sanchez,Evan.Sanchez@school.edu,Phoenix,0,60.0
38001,Jason,Bailey,Jason.Bailey@school.edu,Redwood,2,14.0
37965,Tristan,James,Tristan.James@school.edu,Vanguard,0,81.0
37865,Austin,Foster,Austin.Foster@school.edu,Redwood,0,73.0
38022,Carter,Baker,Carter.Baker@school.edu,Redwood,3,73.0
37986,Bentley,Price,Bentley.Price@school.edu,Astral,4,44.0
37915,Lorenzo,Woods,Lorenzo.Woods@school.edu,Griffin,4,72.0
38002,Axel,Bennett,Axel.Bennett@school.edu,Phoenix,4,23.0
37950,Marcellus,Tovar,Marcellus.Tovar@school.edu,Astral,0,31.0
37864,Eli,Collins,Eli.Collins@school.edu,Griffin,4,7.0
37937,Mason,Wilson,Mason.Wilson@school.edu,Griffin,4,15.0
37948,Caden,Novak,Caden.Novak@school.edu,Redwood,2,86.0
37970,Tucker,Castro,Tucker.Castro@school.edu,Falcon,2,81.0
37938,Donovan,Steele,Donovan.Steele@school.edu,Redwood,1,22.0
38003,Gabriel,Lee,Gabriel.Lee@school.edu,Astral,1,58.0
37992,James,Anderson,James.Anderson@school.edu,Vanguard,0,12.0
37914,Jorge,Fox,Jorge.Fox@school.edu,Falcon,0,83.0
38008,Christopher,Clark,Christopher.Clark@school.edu,Astral,0,93.0
37904,Zane,Pena,Zane.Pena@school.edu,Vanguard,3,76.0
37909,Leo,Adams,Leo.Adams@school.edu,Falcon,0,92.0
37883,Atticus,Osborne,Atticus.Osborne@school.edu,Astral,1,19.0
37929,Sawyer,Butler,Sawyer.Butler@school.edu,Falcon,3,8.0
37985,Dominic,Barnes,Dominic.Barnes@school.edu,Phoenix,2,77.0
37945,Iker,Fisher,Iker.Fisher@school.edu,Griffin,2,46.0
37926,Easton,Bell,Easton.Bell@school.edu,Redwood,3,98.0
37872,Marcus,Hughes,Marcus.Hughes@school.edu,Vanguard,2,5.0
37941,Alexander,Taylor,Alexander.Taylor@school.edu,Griffin,3,56.0
37876,Cooper,Kelly,Cooper.Kelly@school.edu,Phoenix,0,58.0
37852,Jeremiah,Murphy,Jeremiah.Murphy@school.edu,Redwood,0,65.0
37889,Tate,Peck,Tate.Peck@school.edu,Phoenix,0,40.0
37869,Wesley,Long,Wesley.Long@school.edu,Redwood,2,43.0
37958,Harrison,Howard,Harrison.Howard@school.edu,Vanguard,2,97.0
38015,Daniel,White,Daniel.White@school.edu,Falcon,3,26.0
37882,Gideon,Shea,Gideon.Shea@school.edu,Phoenix,0,64.0
37990,David,Garcia,David.Garcia@school.edu,Phoenix,0,83.0
38004,David,Parker,David.Parker@school.edu,Astral,3,14.0
37888,Cassian,Jarvis,Cassian.Jarvis@school.edu,Vanguard,0,55.0
38021,Victor,Hodge,Victor.Hodge@school.edu,Redwood,1,13.0
37994,Maxwell,Richardson,Maxwell.Richardson@school.edu,Phoenix,3,17.0
37899,Mateo,Ramirez,Mateo.Ramirez@school.edu,Griffin,3,20.0
38012,Gabriel,Gray,Gabriel.Gray@school.edu,Phoenix,0,24.0
37900,Lucas,Robinson,Lucas.Robinson@school.edu,Griffin,2,65.0
37930,Jasper,Luna,Jasper.Luna@school.edu,Astral,2,21.0
37854,Christian,Campbell,Christian.Campbell@school.edu,Vanguard,0,5.0
38017,Oliver,Jones,Oliver.Jones@school.edu,Griffin,0,18.0
37982,Hayden,West,Hayden.West@school.edu,Vanguard,2,29.0
37877,Ethan,Williams,Ethan.Williams@school.edu,Phoenix,2,36.0
37910,Chandler,Parks,Chandler.Parks@school.edu,Astral,2,0.0
37874,Killian,Kent,Killian.Kent@school.edu,Falcon,0,79.0
37892,Hendrix,Huff,Hendrix.Huff@school.edu,Redwood,0,61.0
37896,Hunter,Roberts,Hunter.Roberts@school.edu,Phoenix,1,30.0
37884,Emmanuel,Chambers,Emmanuel.Chambers@school.edu,Vanguard,0,7.0
38020,Thomas,Carter,Thomas.Carter@school.edu,Astral,0,66.0
37976,Cole,Stewart,Cole.Stewart@school.edu,Vanguard,0,18.0
38000,Oscar,Reynolds,Oscar.Reynolds@school.edu,Redwood,0,67.0
37978,Isaac,Nelson,Isaac.Nelson@school.edu,Vanguard,0,82.0
37983,Jude,Graham,Jude.Graham@school.edu,Vanguard,1,66.0
38018,Phillip,Lozano,Phillip.Lozano@school.edu,Griffin,0,5.0
37849,Graham,Glenn,Graham.Glenn@school.edu,Vanguard,1,64.0
37999,Lucian,Wu,Lucian.Wu@school.edu,Redwood,0,42.0
37851,Spencer,Woodward,Spencer.Woodward@school.edu,Vanguard,1,6.0
37954,Zayn,Gould,Zayn.Gould@school.edu,Falcon,0,24.0
37922,Cole,Brooks,Cole.Brooks@school.edu,Vanguard,0,58.0
37946,Tyson,Bush,Tyson.Bush@school.edu,Redwood,0,12.0
38019,Sebastian,Gonzalez,Sebastian.Gonzalez@school.edu,Astral,0,88.0
37975,Maximus,Cole,Maximus.Cole@school.edu,Griffin,0,20.0
37959,Matthew,Martin,Matthew.Martin@school.edu,Phoenix,0,69.0
37868,River,Ellis,River.Ellis@school.edu,Griffin,0,38.0
37963,Dominic,Rogers,Dominic.Rogers@school.edu,Falcon,0,74.0
37870,Lucius,Franco,Lucius.Franco@school.edu,Falcon,0,87.0
37996,Adrian,Cook,Adrian.Cook@school.edu,Phoenix,0,89.0
37967,Damian,Harrison,Damian.Harrison@school.edu,Redwood,0,92.0
37927,Benjamin,Miller,Benjamin.Miller@school.edu,Vanguard,1,70.0
38005,Anders,Crosby,Anders.Crosby@school.edu,Griffin,0,53.0
37964,Aiden,Brown,Aiden.Brown@school.edu,Phoenix,0,17.0
37993,Brody,Flores,Brody.Flores@school.edu,Falcon,0,84.0
37981,Flynn,Stuart,Flynn.Stuart@school.edu,Falcon,0,99.0
37940,Andrew,Martinez,Andrew.Martinez@school.edu,Falcon,0,96.0
37939,Elias,Cooper,Elias.Cooper@school.edu,Falcon,0,53.0
37897,Chase,Wood,Chase.Wood@school.edu,Griffin,0,51.0
37919,Dylan,Scott,Dylan.Scott@school.edu,Griffin,0,61.0
38016,Anthony,Hill,Anthony.Hill@school.edu,Redwood,0,18.0
37856,Titus,Serrano,Titus.Serrano@school.edu,Vanguard,0,37.0
37918,Ignatius,Gaines,Ignatius.Gaines@school.edu,Astral,0,44.0
37977,Owen,Hernandez,Owen.Hernandez@school.edu,Redwood,0,47.0
37908,Kingston,Hamilton,Kingston.Hamilton@school.edu,Falcon,0,60.0
37995,Julian,King,Julian.King@school.edu,Astral,0,66.0
37912,Leo,Brewer,Leo.Brewer@school.edu,Phoenix,1,41.0
38011,Kieran,Pruitt,Kieran.Pruitt@school.edu,Astral,0,78.0
37905,Henry,Wright,Henry.Wright@school.edu,Phoenix,0,36.0
37881,Jesse,Hawkins,Jesse.Hawkins@school.edu,Redwood,0,9.0
37944,Jaxson,Washington,Jaxson.Washington@school.edu,Vanguard,0,30.0
37907,Jonah,Russell,Jonah.Russell@school.edu,Redwood,0,31.0
37924,Nolan,Morgan,Nolan.Morgan@school.edu,Phoenix,0,64.0
37960,Thaddeus,Noble,Thaddeus.Noble@school.edu,Griffin,0,81.0
38009,Jett,Nguyen,Jett.Nguyen@school.edu,Astral,0,13.0
37931,Cole,Ward,Cole.Ward@school.edu,Astral,0,75.0
37923,Wilson,Zan,Wilson.Zan@school.edu,Griffin,0,50.0
