nervous_ans,hopeless_ans,restless_ans,depressed_ans,effort_ans,worthless_ans,Participant-ID,Email,home_lang_ans,comfortability_ans,isolated_school_ans,criticise_school_ans,opinion_school_ans,bullying_ans,future_ans,intelligence1_ans,covid_ans,intelligence2_ans,man_chores_opinion,man_violence_opinion,man_sexual_opinion,man_fears_opinion,gay_man_opinion,soft_sport_boys_ans,gender_diff_ans,nerds_ans,men_better_stem_ans,how_happy_ans
3.0,2.0,3.0,1.0,2.0,1.0,38010,Wyatt.Green@school.edu,0.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,7.0,4.0,4.0,8.0
3.0,2.0,5.0,1.0,4.0,1.0,37921,Ricardo.Owens@school.edu,0.0,6.0,2.0,2.0,2.0,7.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0
3.0,1.0,5.0,2.0,4.0,2.0,37902,Derek.Barnes@school.edu,0.0,5.0,2.0,2.0,4.0,6.0,7.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,7.0
4.0,3.0,3.0,2.0,2.0,3.0,37886,Xavier.Bryant@school.edu,0.0,6.0,2.0,4.0,3.0,6.0,6.0,4.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,3.0,8.0
3.0,3.0,3.0,1.0,1.0,3.0,37952,Lincoln.Peterson@school.edu,0.0,7.0,2.0,1.0,7.0,2.0,4.0,3.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,8.0
2.0,2.0,2.0,2.0,4.0,2.0,37942,Nathan.Allen@school.edu,1.0,5.0,3.0,5.0,4.0,7.0,6.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,7.0
3.0,2.0,3.0,1.0,2.0,2.0,37998,Jordan.Reed@school.edu,0.0,6.0,4.0,5.0,4.0,6.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,7.0
2.0,2.0,4.0,1.0,3.0,2.0,37903,Elijah.Moore@school.edu,0.0,4.0,2.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,7.0
3.0,1.0,2.0,2.0,1.0,1.0,37928,Finn.Perry@school.edu,0.0,6.0,1.0,7.0,4.0,5.0,6.0,1.0,7.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,7.0
3.0,2.0,3.0,2.0,3.0,2.0,37853,Declan.Patterson@school.edu,0.0,7.0,1.0,1.0,6.0,6.0,4.0,2.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0
3.0,2.0,3.0,1.0,2.0,1.0,37988,Connor.Young@school.edu,0.0,7.0,2.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,3.0,2.0,9.0
1.0,1.0,1.0,1.0,2.0,2.0,38007,Jackson.Rodriguez@school.edu,0.0,6.0,2.0,6.0,4.0,7.0,7.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,8.0
4.0,4.0,4.0,2.0,3.0,3.0,37968,Emmanuel.Ford@school.edu,0.0,6.0,3.0,1.0,4.0,2.0,5.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,9.0
4.0,4.0,3.0,4.0,5.0,4.0,38013,Peter.Alexander@school.edu,0.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
3.0,3.0,3.0,2.0,2.0,2.0,38006,Samuel.Harris@school.edu,0.0,6.0,2.0,6.0,2.0,7.0,6.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,2.0,7.0
1.0,2.0,3.0,2.0,2.0,1.0,37858,Roman.Simmons@school.edu,0.0,6.0,2.0,2.0,2.0,6.0,5.0,4.0,2.0,5.0,1.0,2.0,7.0,4.0,5.0,3.0,4.0,5.0,4.0,8.0
4.0,2.0,2.0,2.0,3.0,2.0,37962,Aaron.Edwards@school.edu,0.0,5.0,3.0,2.0,5.0,1.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,7.0
3.0,2.0,3.0,1.0,1.0,1.0,37875,Leon.Kirk@school.edu,0.0,6.0,1.0,5.0,3.0,6.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,3.0,2.0,9.0
3.0,2.0,3.0,1.0,3.0,1.0,37936,Adam.Rivera@school.edu,0.0,6.0,1.0,5.0,6.0,6.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,9.0
2.0,2.0,2.0,2.0,2.0,2.0,37935,Walter.Kim@school.edu,0.0,5.0,6.0,2.0,4.0,7.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,1.0,8.0
2.0,1.0,2.0,2.0,3.0,1.0,37932,Cameron.Cox@school.edu,0.0,7.0,2.0,2.0,2.0,7.0,5.0,5.0,1.0,5.0,4.0,2.0,2.0,4.0,4.0,2.0,6.0,3.0,3.0,8.0
3.0,2.0,2.0,1.0,3.0,1.0,37951,Luke.Phillips@school.edu,1.0,6.0,2.0,4.0,3.0,6.0,6.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0
4.0,2.0,4.0,1.0,4.0,2.0,37917,Zander.Buchanan@school.edu,0.0,5.0,4.0,6.0,7.0,5.0,6.0,3.0,3.0,6.0,5.0,5.0,5.0,2.0,2.0,3.0,7.0,2.0,5.0,6.0
3.0,2.0,2.0,2.0,2.0,1.0,37984,Bruce.Malone@school.edu,0.0,6.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,1.0,7.0
4.0,3.0,2.0,2.0,3.0,2.0,37989,Caleb.Turner@school.edu,0.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,8.0
1.0,1.0,3.0,2.0,4.0,2.0,37857,Damon.Banks@school.edu,0.0,7.0,6.0,3.0,5.0,3.0,2.0,2.0,1.0,6.0,3.0,3.0,2.0,2.0,4.0,7.0,7.0,4.0,5.0,4.0
3.0,1.0,5.0,3.0,5.0,3.0,37933,Chance.Wallace@school.edu,0.0,6.0,1.0,1.0,6.0,6.0,4.0,2.0,5.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0
4.0,4.0,3.0,1.0,1.0,2.0,37920,Noah.Johnson@school.edu,0.0,5.0,5.0,5.0,7.0,3.0,1.0,6.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,5.0,7.0,3.0,7.0,6.0
3.0,2.0,4.0,2.0,2.0,2.0,37956,Simon.Cline@school.edu,0.0,5.0,2.0,4.0,2.0,7.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,4.0,6.0
1.0,1.0,1.0,1.0,1.0,1.0,37916,Jeremiah.Myers@school.edu,0.0,7.0,7.0,1.0,7.0,7.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,3.0,10.0
3.0,2.0,2.0,1.0,2.0,1.0,37862,Greyson.Ross@school.edu,0.0,6.0,2.0,4.0,4.0,6.0,6.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,3.0,2.0,2.0,5.0,9.0
2.0,1.0,2.0,2.0,2.0,1.0,37974,Tobias.Tanner@school.edu,0.0,6.0,6.0,6.0,3.0,6.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0
2.0,1.0,1.0,1.0,1.0,1.0,37961,Tucker.Campos@school.edu,0.0,6.0,1.0,6.0,2.0,6.0,6.0,2.0,5.0,5.0,2.0,1.0,2.0,4.0,7.0,3.0,4.0,4.0,1.0,9.0
3.0,1.0,2.0,2.0,2.0,1.0,37906,Zayden.Coleman@school.edu,0.0,7.0,6.0,6.0,3.0,4.0,6.0,4.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0
3.0,3.0,2.0,1.0,4.0,2.0,37979,Dennis.Lutz@school.edu,0.0,6.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,9.0
2.0,1.0,2.0,1.0,2.0,1.0,37966,Ezekiel.Gonzales@school.edu,0.0,6.0,2.0,1.0,2.0,7.0,7.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,10.0
3.0,1.0,2.0,1.0,3.0,3.0,37855,Carlos.Torres@school.edu,0.0,5.0,3.0,2.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,6.0,2.0,2.0,10.0
2.0,1.0,1.0,1.0,4.0,1.0,37980,Elliot.Hayes@school.edu,1.0,7.0,1.0,5.0,2.0,6.0,7.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,9.0
1.0,2.0,4.0,3.0,5.0,2.0,37969,Malik.Cortez@school.edu,0.0,6.0,5.0,6.0,3.0,7.0,7.0,5.0,5.0,6.0,4.0,1.0,4.0,4.0,1.0,4.0,7.0,2.0,1.0,8.0
1.0,1.0,1.0,1.0,1.0,1.0,37913,Lawrence.Cervantes@school.edu,0.0,4.0,4.0,1.0,4.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0
4.0,2.0,3.0,1.0,3.0,1.0,37947,Ronald.Salazar@school.edu,0.0,6.0,5.0,7.0,3.0,4.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,5.0,5.0,7.0
1.0,1.0,3.0,1.0,2.0,1.0,37890,William.Thomas@school.edu,0.0,7.0,1.0,4.0,2.0,6.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0
2.0,3.0,2.0,3.0,3.0,3.0,37934,Bennett.Sullivan@school.edu,1.0,4.0,5.0,2.0,4.0,6.0,5.0,5.0,3.0,4.0,4.0,1.0,7.0,1.0,4.0,1.0,4.0,4.0,4.0,6.0
3.0,1.0,3.0,1.0,3.0,1.0,37973,Axel.Griffin@school.edu,0.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,7.0,2.0,3.0,6.0
2.0,1.0,3.0,1.0,1.0,1.0,37866,Jonathan.Evans@school.edu,0.0,6.0,2.0,3.0,3.0,7.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,8.0
2.0,1.0,2.0,1.0,2.0,1.0,37878,Levi.Mitchell@school.edu,0.0,7.0,2.0,4.0,2.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0
2.0,2.0,4.0,1.0,2.0,1.0,37955,Colton.Henderson@school.edu,0.0,6.0,2.0,5.0,3.0,6.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,8.0
3.0,4.0,1.0,4.0,3.0,3.0,37972,Caleb.Davis@school.edu,1.0,5.0,1.0,1.0,4.0,5.0,5.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,6.0
3.0,2.0,2.0,2.0,5.0,2.0,37887,Charles.Diaz@school.edu,0.0,3.0,3.0,4.0,2.0,4.0,5.0,1.0,2.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0
3.0,2.0,5.0,1.0,1.0,1.0,37873,Silas.Jenkins@school.edu,0.0,6.0,7.0,7.0,3.0,7.0,4.0,7.0,1.0,7.0,7.0,7.0,7.0,3.0,4.0,6.0,4.0,6.0,1.0,3.0
2.0,1.0,3.0,1.0,2.0,1.0,37893,Barrett.Gibson@school.edu,0.0,7.0,2.0,5.0,2.0,7.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,4.0,2.0,9.0
3.0,1.0,1.0,1.0,3.0,2.0,37863,Patrick.Olsen@school.edu,0.0,6.0,2.0,6.0,2.0,4.0,6.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,7.0,1.0,3.0,9.0
2.0,1.0,2.0,1.0,1.0,1.0,37850,Richard.Harrington@school.edu,0.0,6.0,2.0,4.0,2.0,6.0,4.0,4.0,2.0,2.0,6.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,4.0,8.0
3.0,1.0,4.0,1.0,1.0,1.0,37953,Blake.Sanders@school.edu,0.0,7.0,2.0,7.0,3.0,7.0,7.0,3.0,1.0,2.0,7.0,1.0,3.0,4.0,2.0,7.0,7.0,2.0,6.0,9.0
2.0,2.0,3.0,3.0,2.0,2.0,37885,Enzo.Espinoza@school.edu,0.0,5.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,7.0
3.0,1.0,2.0,1.0,5.0,1.0,37879,Sterling.Hickman@school.edu,0.0,6.0,2.0,7.0,1.0,7.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,10.0
2.0,1.0,2.0,1.0,2.0,1.0,37880,Jack.Lopez@school.edu,0.0,7.0,1.0,5.0,1.0,7.0,6.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,9.0
4.0,4.0,3.0,3.0,4.0,4.0,38014,Bryce.Montgomery@school.edu,1.0,6.0,4.0,4.0,3.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0
2.0,1.0,1.0,1.0,2.0,1.0,37891,Ryan.Hall@school.edu,1.0,7.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,10.0
3.0,2.0,5.0,2.0,4.0,2.0,37860,Jaxon.Morris@school.edu,0.0,4.0,5.0,4.0,3.0,6.0,7.0,6.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,8.0
3.0,2.0,1.0,2.0,2.0,3.0,37949,Logan.Lewis@school.edu,0.0,5.0,5.0,2.0,4.0,7.0,3.0,6.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,6.0,5.0,4.0,5.0
3.0,2.0,2.0,1.0,2.0,1.0,37987,Evan.Sanchez@school.edu,0.0,6.0,1.0,2.0,3.0,6.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,10.0
2.0,2.0,2.0,1.0,2.0,1.0,38001,Jason.Bailey@school.edu,0.0,6.0,1.0,4.0,1.0,7.0,6.0,1.0,2.0,4.0,7.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,10.0
4.0,2.0,3.0,1.0,5.0,1.0,37965,Tristan.James@school.edu,0.0,6.0,5.0,4.0,5.0,6.0,7.0,6.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,6.0,2.0,2.0,9.0
3.0,2.0,5.0,2.0,3.0,1.0,37865,Austin.Foster@school.edu,0.0,4.0,2.0,3.0,6.0,6.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,7.0,5.0,1.0,7.0
4.0,4.0,4.0,3.0,3.0,4.0,38022,Carter.Baker@school.edu,1.0,6.0,4.0,6.0,6.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,6.0
3.0,2.0,5.0,1.0,1.0,1.0,37986,Bentley.Price@school.edu,0.0,6.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,7.0,5.0,6.0,10.0
4.0,2.0,2.0,2.0,3.0,2.0,37915,Lorenzo.Woods@school.edu,1.0,6.0,4.0,7.0,7.0,6.0,7.0,1.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,5.0,6.0,2.0,2.0,7.0
3.0,4.0,5.0,2.0,4.0,2.0,38002,Axel.Bennett@school.edu,1.0,7.0,5.0,6.0,4.0,6.0,7.0,3.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,6.0,3.0,2.0,3.0
4.0,1.0,2.0,1.0,2.0,1.0,37950,Marcellus.Tovar@school.edu,0.0,6.0,2.0,4.0,4.0,6.0,7.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,7.0
2.0,1.0,4.0,1.0,2.0,1.0,37864,Eli.Collins@school.edu,0.0,6.0,4.0,4.0,6.0,7.0,7.0,4.0,1.0,5.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,5.0,1.0,10.0
5.0,5.0,5.0,1.0,5.0,5.0,37937,Mason.Wilson@school.edu,1.0,5.0,1.0,5.0,7.0,4.0,6.0,6.0,7.0,7.0,4.0,1.0,1.0,1.0,4.0,7.0,7.0,3.0,7.0,8.0
2.0,1.0,2.0,1.0,2.0,1.0,37948,Caden.Novak@school.edu,1.0,6.0,2.0,7.0,2.0,7.0,6.0,3.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,8.0
2.0,2.0,3.0,2.0,2.0,2.0,37970,Tucker.Castro@school.edu,0.0,6.0,4.0,6.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0
2.0,1.0,4.0,1.0,5.0,1.0,37938,Donovan.Steele@school.edu,0.0,7.0,1.0,2.0,3.0,7.0,7.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0
3.0,1.0,2.0,1.0,3.0,1.0,38003,Gabriel.Lee@school.edu,0.0,6.0,1.0,7.0,4.0,1.0,7.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0,7.0,4.0,6.0,2.0,4.0,10.0
3.0,3.0,3.0,1.0,2.0,2.0,37992,James.Anderson@school.edu,0.0,6.0,3.0,1.0,5.0,1.0,6.0,6.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,6.0,5.0,4.0,9.0
1.0,1.0,3.0,1.0,2.0,1.0,37914,Jorge.Fox@school.edu,0.0,6.0,1.0,5.0,2.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,9.0
3.0,1.0,4.0,1.0,3.0,1.0,38008,Christopher.Clark@school.edu,0.0,6.0,2.0,4.0,3.0,7.0,5.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,9.0
2.0,1.0,4.0,1.0,1.0,2.0,37904,Zane.Pena@school.edu,0.0,6.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0,1.0,1.0,7.0
3.0,1.0,4.0,1.0,5.0,1.0,37909,Leo.Adams@school.edu,1.0,6.0,2.0,4.0,3.0,6.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,9.0
3.0,3.0,2.0,1.0,1.0,1.0,37883,Atticus.Osborne@school.edu,0.0,7.0,1.0,7.0,4.0,7.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,2.0,7.0,3.0,1.0,8.0
2.0,1.0,3.0,2.0,5.0,1.0,37929,Sawyer.Butler@school.edu,1.0,6.0,1.0,5.0,3.0,7.0,6.0,2.0,4.0,2.0,1.0,5.0,4.0,3.0,1.0,1.0,6.0,1.0,4.0,8.0
3.0,2.0,1.0,1.0,2.0,1.0,37985,Dominic.Barnes@school.edu,0.0,6.0,2.0,4.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,9.0
4.0,2.0,3.0,1.0,2.0,1.0,37945,Iker.Fisher@school.edu,0.0,6.0,4.0,5.0,3.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,6.0,1.0,4.0,8.0
3.0,2.0,2.0,2.0,1.0,2.0,37926,Easton.Bell@school.edu,0.0,5.0,4.0,4.0,5.0,7.0,5.0,5.0,7.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,6.0,8.0
1.0,2.0,4.0,1.0,3.0,2.0,37872,Marcus.Hughes@school.edu,0.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,2.0,8.0
2.0,1.0,2.0,1.0,3.0,1.0,37941,Alexander.Taylor@school.edu,1.0,7.0,2.0,5.0,3.0,7.0,6.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0
2.0,1.0,2.0,1.0,3.0,1.0,37876,Cooper.Kelly@school.edu,0.0,6.0,1.0,5.0,1.0,2.0,6.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,8.0
3.0,3.0,3.0,3.0,4.0,3.0,37852,Jeremiah.Murphy@school.edu,0.0,4.0,3.0,5.0,7.0,3.0,4.0,3.0,1.0,6.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,2.0,4.0
4.0,3.0,5.0,3.0,4.0,2.0,37889,Tate.Peck@school.edu,0.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,2.0,4.0,7.0,1.0,4.0,6.0,7.0,5.0,1.0,6.0
